year,n6,name,n5,n2,n,n3,n4
2020/2/12,RU,Russian Federation,EURO,0,2,0,0
2020/2/12,FR,France,EURO,0,11,0,0
2020/2/12,TR,Turkey,EURO,0,0,0,0
2020/2/12,GB,The United Kingdom,EURO,0,8,0,0
2020/2/12,AR,Argentina,AMRO,0,0,0,0
2020/2/12,CO,Colombia,AMRO,0,0,0,0
2020/2/12,IT,Italy,EURO,0,3,0,0
2020/2/13,IN,India,SEARO,0,7,0,0
2020/2/13,US,United States of America,AMRO,2,73,0,0
2020/2/13,BR,Brazil,AMRO,0,0,0,0
2020/2/13,RU,Russian Federation,EURO,0,2,0,0
2020/2/13,FR,France,EURO,0,11,0,0
2020/2/13,TR,Turkey,EURO,0,0,0,0
2020/2/13,GB,The United Kingdom,EURO,1,9,0,0
2020/2/13,AR,Argentina,AMRO,0,0,0,0
2020/2/13,CO,Colombia,AMRO,0,0,0,0
2020/2/13,IT,Italy,EURO,0,3,0,0
2020/2/14,IN,India,SEARO,0,7,0,0
2020/2/14,US,United States of America,AMRO,1,74,0,0
2020/2/14,BR,Brazil,AMRO,0,0,0,0
2020/2/14,RU,Russian Federation,EURO,0,2,0,0
2020/2/14,FR,France,EURO,0,11,0,0
2020/2/14,TR,Turkey,EURO,0,0,0,0
2020/2/14,GB,The United Kingdom,EURO,0,9,0,0
2020/2/14,AR,Argentina,AMRO,0,0,0,0
2020/2/14,CO,Colombia,AMRO,0,0,0,0
2020/2/14,IT,Italy,EURO,0,3,0,0
2020/2/15,IN,India,SEARO,0,7,0,0
2020/2/15,US,United States of America,AMRO,2,76,0,0
2020/2/15,BR,Brazil,AMRO,0,0,0,0
2020/2/15,RU,Russian Federation,EURO,0,2,0,0
2020/2/15,FR,France,EURO,0,11,1,1
2020/2/15,TR,Turkey,EURO,0,0,0,0
2020/2/15,GB,The United Kingdom,EURO,0,9,0,0
2020/2/15,AR,Argentina,AMRO,0,0,0,0
2020/2/15,CO,Colombia,AMRO,0,0,0,0
2020/2/15,IT,Italy,EURO,0,3,0,0
2020/2/16,IN,India,SEARO,0,7,0,0
2020/2/16,US,United States of America,AMRO,3,79,0,0
2020/2/16,BR,Brazil,AMRO,0,0,0,0
2020/2/16,RU,Russian Federation,EURO,0,2,0,0
2020/2/16,FR,France,EURO,0,11,0,1
2020/2/16,TR,Turkey,EURO,0,0,0,0
2020/2/16,GB,The United Kingdom,EURO,0,9,0,0
2020/2/16,AR,Argentina,AMRO,0,0,0,0
2020/2/16,CO,Colombia,AMRO,0,0,0,0
2020/2/16,IT,Italy,EURO,0,3,0,0
2020/2/17,IN,India,SEARO,0,7,0,0
2020/2/17,US,United States of America,AMRO,2,81,0,0
2020/2/17,BR,Brazil,AMRO,0,0,0,0
2020/2/17,RU,Russian Federation,EURO,0,2,0,0
2020/2/17,FR,France,EURO,1,12,0,1
2020/2/17,TR,Turkey,EURO,0,0,0,0
2020/2/17,GB,The United Kingdom,EURO,0,9,0,0
2020/2/17,AR,Argentina,AMRO,0,0,0,0
2020/2/17,CO,Colombia,AMRO,0,0,0,0
2020/2/17,IT,Italy,EURO,0,3,0,0
2020/2/18,IN,India,SEARO,0,7,0,0
2020/2/18,US,United States of America,AMRO,0,81,0,0
2020/2/18,BR,Brazil,AMRO,0,0,0,0
2020/2/18,RU,Russian Federation,EURO,0,2,0,0
2020/2/18,FR,France,EURO,0,12,0,1
2020/2/18,TR,Turkey,EURO,0,0,0,0
2020/2/18,GB,The United Kingdom,EURO,0,9,0,0
2020/2/18,AR,Argentina,AMRO,0,0,0,0
2020/2/18,CO,Colombia,AMRO,0,0,0,0
2020/2/18,IT,Italy,EURO,0,3,0,0
2020/2/19,IN,India,SEARO,0,7,0,0
2020/2/19,US,United States of America,AMRO,6,87,0,0
2020/2/19,BR,Brazil,AMRO,0,0,0,0
2020/2/19,RU,Russian Federation,EURO,0,2,0,0
2020/2/19,FR,France,EURO,0,12,0,1
2020/2/19,TR,Turkey,EURO,0,0,0,0
2020/2/19,GB,The United Kingdom,EURO,0,9,0,0
2020/2/19,AR,Argentina,AMRO,0,0,0,0
2020/2/19,CO,Colombia,AMRO,0,0,0,0
2020/2/19,IT,Italy,EURO,0,3,0,0
2020/2/20,IN,India,SEARO,0,7,0,0
2020/2/20,US,United States of America,AMRO,0,87,0,0
2020/2/20,BR,Brazil,AMRO,0,0,0,0
2020/2/20,RU,Russian Federation,EURO,0,2,0,0
2020/2/20,FR,France,EURO,0,12,0,1
2020/2/20,TR,Turkey,EURO,0,0,0,0
2020/2/20,GB,The United Kingdom,EURO,0,9,0,0
2020/2/20,AR,Argentina,AMRO,0,0,0,0
2020/2/20,CO,Colombia,AMRO,0,0,0,0
2020/2/20,IT,Italy,EURO,0,3,0,0
2020/2/21,IN,India,SEARO,0,7,0,0
2020/2/21,US,United States of America,AMRO,1,88,0,0
2020/2/21,BR,Brazil,AMRO,0,0,0,0
2020/2/21,RU,Russian Federation,EURO,0,2,0,0
2020/2/21,FR,France,EURO,0,12,0,1
2020/2/21,TR,Turkey,EURO,0,0,0,0
2020/2/21,GB,The United Kingdom,EURO,0,9,0,0
2020/2/21,AR,Argentina,AMRO,0,0,0,0
2020/2/21,CO,Colombia,AMRO,0,0,0,0
2020/2/21,IT,Italy,EURO,0,3,0,0
2020/2/22,IN,India,SEARO,0,7,0,0
2020/2/22,US,United States of America,AMRO,2,90,0,0
2020/2/22,BR,Brazil,AMRO,0,0,0,0
2020/2/22,RU,Russian Federation,EURO,0,2,0,0
2020/2/22,FR,France,EURO,0,12,0,1
2020/2/22,TR,Turkey,EURO,0,0,0,0
2020/2/22,GB,The United Kingdom,EURO,0,9,0,0
2020/2/22,AR,Argentina,AMRO,0,0,0,0
2020/2/22,CO,Colombia,AMRO,0,0,0,0
2020/2/22,IT,Italy,EURO,14,17,0,0
